index,AGS
868,01060020
869,01060021
870,01060022
871,01060023
872,01060024
873,01060025
874,01060026
875,01060027
876,01060028
877,01060029
878,01060030
879,01060031
880,01060033
881,01060034
882,01060035
883,01060036
884,01060037
885,01060038
886,01060039
887,01060040
888,01060041
889,01060042
890,01060043
891,01060044
892,01060045
893,01060046
894,01060047
895,01060048
896,01060049
897,01060050
898,01060051
899,01060052
900,01060053
901,01060054
902,01060056
903,01060057
904,01060058
905,01060059
906,01060060
907,01060061
908,01060062
909,01060063
910,01060064
911,01060065
912,01060066
913,01060067
914,01060068
915,01060069
916,01060070
917,01060071
918,01060072
919,01060073
920,01060074
921,01060075
922,01060076
923,01060077
924,01060079
925,01060080
926,01060081
927,01060082
928,01060084
929,01060085
930,01060086
931,01060087
932,01060088
933,01060089
934,01060090
935,01060091
936,01060092
937,01060093
938,01060094
939,01060095
940,01060096
941,01060097
942,01060098
943,01060099
944,01060100
945,01060101
946,01061001
947,01061002
948,01061003
949,01061004
950,01061005
951,01061006
952,01061007
953,01061008
954,01061010
955,01061011
956,01061012
957,01061013
958,01061014
959,01061015
960,01061016
961,01061017
962,01061018
963,01061019
964,01061020
965,01061021
966,01061022
967,01061023
968,01061024
969,01061025
970,01061026
971,01061027
972,01061028
973,01061029
974,01061030
975,01061031
976,01061033
977,01061034
978,01061035
979,01061036
980,01061037
981,01061038
982,01061039
983,01061040
984,01061041
985,01061042
986,01061043
987,01061044
988,01061045
989,01061046
990,01061047
991,01061048
992,01061049
993,01061050
994,01061052
995,01061053
996,01061054
997,01061055
998,01061056
999,01061057
1000,01061058
1001,01061059
1002,01061060
1003,01061061
1004,01061062
1005,01061063
1006,01061064
1007,01061065
1008,01061066
1009,01061067
1010,01061068
1011,01061070
1012,01061071
1013,01061072
1014,01061073
1015,01061074
1016,01061076
1017,01061077
1018,01061078
1019,01061079
1020,01061080
1021,01061081
1022,01061082
1023,01061083
1024,01061084
1025,01061085
1026,01061086
1027,01061087
1028,01061088
1029,01061089
1030,01061091
1031,01061092
1032,01061093
1033,01061095
1034,01061096
